TRIP_ID,prompt
0,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 52 CHF, with a headway of 20 minutes.
 - Train: travel time of 112 minutes, costing 48 CHF, with a headway of 120 minutes.
 - Car: travel time of 117 minutes, costing 65 CHF."
1,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 49 CHF, with a headway of 10 minutes.
 - Train: travel time of 103 minutes, costing 48 CHF, with a headway of 30 minutes.
 - Car: travel time of 117 minutes, costing 84 CHF."
2,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 67 minutes, costing 58 CHF, with a headway of 30 minutes.
 - Train: travel time of 130 minutes, costing 48 CHF, with a headway of 60 minutes.
 - Car: travel time of 117 minutes, costing 52 CHF."
3,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 52 CHF, with a headway of 20 minutes.
 - Train: travel time of 103 minutes, costing 40 CHF, with a headway of 30 minutes.
 - Car: travel time of 72 minutes, costing 52 CHF."
4,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 63 minutes, costing 42 CHF, with a headway of 20 minutes.
 - Train: travel time of 130 minutes, costing 36 CHF, with a headway of 60 minutes.
 - Car: travel time of 90 minutes, costing 84 CHF."
5,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 49 CHF, with a headway of 10 minutes.
 - Train: travel time of 112 minutes, costing 36 CHF, with a headway of 120 minutes.
 - Car: travel time of 90 minutes, costing 52 CHF."
6,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 67 minutes, costing 58 CHF, with a headway of 10 minutes.
 - Train: travel time of 103 minutes, costing 48 CHF, with a headway of 120 minutes.
 - Car: travel time of 72 minutes, costing 65 CHF."
7,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 67 minutes, costing 43 CHF, with a headway of 30 minutes.
 - Train: travel time of 103 minutes, costing 36 CHF, with a headway of 30 minutes.
 - Car: travel time of 90 minutes, costing 65 CHF."
8,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Bern.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 60 minutes, costing 46 CHF, with a headway of 10 minutes.
 - Train: travel time of 130 minutes, costing 40 CHF, with a headway of 60 minutes.
 - Car: travel time of 72 minutes, costing 65 CHF."
9,"Trip Purpose: commuter.
Luggage: none of luggage.
Payment Method: paid by oneself.
Origin: Vaud.
Destination: Zurich.
Available Transportation Options:
 - Swissmetro: travel time of 76 minutes, costing 70 CHF, with a headway of 20 minutes.
 - Train: travel time of 184 minutes, costing 62 CHF, with a headway of 120 minutes."
